KEY,name
Location(4505927319552000),Arena Hallway
Location(4509875725926400),Keep Kitchen Storage
Location(4509974331916288),Giant Turtle
Location(4514173299982336),Great Northern Valley
Location(4514844928638976),Third Floor Landing
Location(4515975543128064),Combat site: Orc Prince
Location(4516845742194688),Tainted Jungle
Location(4516897327415296),Tomb of the Fallen
Location(4517876816150528),Mortachiani Highlands
Location(4519598845067264),Long Narrow Passage
Location(4522237236346880),Troll Cave
Location(4522881598095360),MGO's Weapon Roll Testing Room
Location(4525433985171456),Deep Jungle
Location(4525514647666688),North Cemetery
Location(4526915240591360),Drub'Lak Tribe Ogre Camp
Location(4527609808945152),Forgotten Altar
Location(4532035590291456),
Location(4535180153061376),Xaruk Forest
Location(4538703854698496),Dense Jungle
Location(4542490997161984),Northern Crags
Location(4543108142333952),Ferry
Location(4543383448322048),Reward Room
Location(4544979972128768),Long Hall 3
Location(4545027229614080),MGO's Item Spawner Room
Location(4550204267429888),Shrine of Papa's Spirit
Location(4550381602340864),Old Mine
Location(4553554777866240),Nortion Hills
Location(4554135707844608),Lower Stormcrag Mountains
Location(4554371022979072),Marcusville
Location(4555180137250816),Rat's Nest
Location(4557967676932096),Maelstrom
Location(4558049120354304),Embalming Room
Location(4558500787388416),Yondir Dock
Location(4562755466297344),
Location(4565181170450432),Forgotton Cave Entrance
Location(4565452399575040),Endless Tunnel
Location(4566930161139712),Large Wardrobe
Location(4567021807206400),Old Mine
Location(4567038813011968),Burning Wastes
Location(4568630826369024),Nakeen's Test Room2
Location(4568800104284160),Flooded Marsh
Location(4569513123381248),Arena Entrance
Location(4571571273334784),West Library
Location(4572325261344768),Alderai Trail
Location(4575050063151104),Stairs
Location(4575666044928000),Spider Nesting Site
Location(4579063346757632),Archmage's Quarters
Location(4580320541671424),Steaming Cave
Location(4585920951222272),Reward Room
Location(4589389035864064),Arena Hallway
Location(4590542854815744),Rolling Dunes
Location(4595472251486208),Safe House
Location(4597336033460224),Serpent Pit
Location(4600623388950528),Rocky Hill
Location(4605232224403456),Ratargul Swamp
Location(4607732636188672),Perigee Peak
Location(4607990200008704),Northeast Cemetery
Location(4610597649907712),Front Door
Location(4611092757086208),Potions Laboratory
Location(4612151846633472),Strange Room
Location(4615707669037056),Rocky Path
Location(4618088644345856),Strange Rock Formation
Location(4619217262346240),Troll Keep Altar
Location(4619684048535552),Testing Chamber 02
Location(4619890228985856),The Way
Location(4619891441401856),Magical Forest
Location(4620887873028096),Forest
Location(4622080312082432),Aseridith Fort Guardtower
Location(4625866026123264),Reward Room
Location(4630925128499200),Eerie Lake
Location(4634198741090304),Evergreen Trail
Location(4639225850363904),Aphelion Shrine Repository
Location(4641210425671680),Empty Room 2
Location(4641884412575744),Taelhollow Swamp Shrine
Location(4643429219041280),A Sense of Dread
Location(4649706850615296),Temple Entrance
Location(4650080137379840),Mortachiani Lake
Location(4654774264004608),Twilight Vault
Location(4657767691321344),Confiscation Station
Location(4662743332290560),The Fork
Location(4662926659026944),Aseridith Fort Guardtower Top
Location(4664531078348800),Concealed Tunnel
Location(4664650326605824),Reward Room
Location(4666566764920832),Marcusville Bridge
Location(4673239279206400),Merchant's Tent
Location(4674963365691392),Throne Room
Location(4675290055835648),Lizardfolk Marshland
Location(4680955232518144),Boggart Shrine
Location(4681852385755136),Myrmidon Training Quarters
Location(4682133618556928),Aseridith Fort Courtyard
Location(4682546134646784),Lower Crypt
Location(4682798056079360),Lavish Pavilion
Location(4682816811958272),Aseridith Fort Barracks
Location(4682977237794816),Secret Passage
Location(4683731928875008),Mineshaft
Location(4683772481503232),Castle Doorway
Location(4685631031607296),Well-Traveled Trail
Location(4686268414820352),Grand Study
Location(4687078457868288),Hallway to Pit Five
Location(4688520931180544),Sirian Outer Courtyard 2
Location(4688701899669504),Mini Wormhole
Location(4691376327884800),Fisherman's Ferry
Location(4692368319053824),Cinder Mountain Range
Location(4696875286396928),Old Mine
Location(4701732827299840),Nors Mountain
Location(4703217505009664),Dead Jungles
Location(4708530482839552),Feeder Stream
Location(4709712366403584),Mausoleum of Gol'Shlanek
Location(4712253156753408),Dense Jungle Shrine
Location(4713019464744960),
Location(4713395341492224),Reward Room
Location(4713648428154880),Jachum's Steps
Location(4713972258832384),Castle Barracks
Location(4714608241934336),Mystic Cave
Location(4714951546503168),Troll Dig
Location(4715378873729024),Upper Level
Location(4719177888169984),Forest Fire
Location(4719915504238592),Alderai Coast
Location(4720648400404480),Hallway
Location(4720654552662016),Arena Hallway
Location(4722354780372992),Emerald Isle
Location(4729303225073664),Kamil Cave Entrance
Location(4729741960544256),Russ gym
Location(4729971436421120),Winding Path
Location(4730559019876352),Gates of Doom
Location(4732909075300352),Strange Empty Room
Location(4736790432841728),Aseridith Fort West Beach
Location(4741759352963072),Cavern Mouth
Location(4742541412925440),Temple Ruins
Location(4744890697383936),Secret Tunnel
Location(4749318969884672),Savannah
Location(4750757815386112),Outer Gate
Location(4752155970109440),Ruined City
Location(4752439193894912),Mysterious Chamber
Location(4752576599818240),Cliffside Lookout
Location(4752720030597120),Altar of Destruction
Location(4754026470309888),Hallway Four
Location(4754470663880704),MGO's Mob Testing Room
Location(4756749855752192),Training Center
Location(4758723123216384),Fishing Boat
Location(4759477857288192),Locked Entrance
Location(4765507982983168),Troll Camp
Location(4765966608105472),Tomb Entrance
Location(4767886398717952),Aseridith Fort Tower
Location(4769608749809664),Tunnel Climb
Location(4770947488284672),Stony Creekbed
Location(4771182310064128),Dungeon
Location(4773937385308160),MGO's Test Area
Location(4776677523062784),Cyclopean Lair
Location(4783785698918400),Garbage Dump
Location(4785609382035456),Tunnel Climb
Location(4790552935792640),Pantry
Location(4793116924051456),Frosty's Domain
Location(4793581672071168),Tutorial
Location(4794925902200832),Aseridith Fort Gates
Location(4796640334708736),Toxic Swamp Outskirts
Location(4796969436577792),Debuff Instance End 3
Location(4800814537506816),Troll Tent
Location(4803555187752960),Sirian Knight's Armory
Location(4808425252847616),Aseridith Fort Church
Location(4808618326097920),Burial Site of The Ebon Raven
Location(4809336524111872),Basement Holding Cells
Location(4809500160688128),Keep Grand Hall
Location(4809820019359744),Spiralling Stairway
Location(4814153097412608),Reward Hallway
Location(4816270649720832),Arena Hallway
Location(4818460393603072),Castle Field
Location(4819347931660288),Hidden Room
Location(4819630356430848),Myrmidon Fort
Location(4821124364369920),Militia Storeroom
Location(4825357316521984),Shimmering Portal
Location(4831167037571072),Captain's Cell
Location(4831433256337408),Sahuagin Lagoon
Location(4834678305456128),High Road: Forest Lookout
Location(4835557142429696),Leniex Valley
Location(4839612771991552),Dev Land
Location(4844226355396608),Aseridith Island Docks
Location(4845275963195392),Sirian Blacksmith
Location(4848152773394432),Blazing Pit
Location(4848497063362560),Enchanted Forest
Location(4851296928530432),Burning Wastes
Location(4852746265559040),Bridge to Marcusville
Location(4852836756094976),Alderai Coast
Location(4855686986465280),Ruined Stairway
Location(4856993229570048),Church of the Shadows
Location(4857543114883072),Forest Encampment
Location(4858846937874432),Elven Grove
Location(4860057271664640),Toxic Swamp
Location(4861326027390976),Cliffside Coast
Location(4862839194124288),Mortachiani Cliff-face
Location(4866261078507520),Castle Stairwell
Location(4867564377210880),Vall'A Village
Location(4869118343774208),Tunnel Shaft
Location(4869547509415936),Hidden Room
Location(4870300701556736),Vyper's Test Area
Location(4874125034127360),Drow Entrydoor
Location(4875832497012736),Santa's Mountain
Location(4878355516096512),Priest's Chamber
Location(4878368132038656),Open Courtyard
Location(4878533102927872),Aseridith Keep Kitchen
Location(4879570511593472),Old Mine
Location(4880132893835264),Alteru's Imagination
Location(4883995022065664),
Location(4887533922025472),Tunnel Climb
Location(4888673191723008),Goblin Tent
Location(4889410303164416),Rough Tunnel
Location(4890621339762688),Rolling Dunes Shrine
Location(4891040691519488),Massive Crater
Location(4891495303741440),Artius Lane
Location(4891959017078784),Emerald Forest
Location(4895174123585536),Empty Room 3
Location(4895417871630336),Debuff Instance End 5
Location(4895729587847168),Old Mine
Location(4897592462278656),Servants Quarters
Location(4898631959183360),Herb Garden
Location(4898703714549760),Sheltered Cave
Location(4905123335897088),Xaruk
Location(4906519144431616),Tolst Creek
Location(4910863291252736),Bandit's Common Room
Location(4918619663761408),Hatchery
Location(4920778891460608),Vast Desert
Location(4921068011913216),Right Passage
Location(4921226304159744),Arena Hallway
Location(4922127197143040),Base Storeroom
Location(4922417546002432),Learning Grounds Cave
Location(4922705701765120),Stairwell
Location(4924288943783936),Volantis Arena
Location(4925241851641856),Winding River
Location(4927821140459520),Mausoleum Courtyard
Location(4929421640728576),Entrance
Location(4931718721306624),Broken Stone Structure
Location(4932267831984128),Troll Keep Smithy
Location(4933454961836032),Impure Jungle
Location(4933975157506048),Mausoleum of Gol'Shlanek
Location(4934850481487872),Master Bedroom
Location(4939142698106880),Great Goblin Fortress of Xaruk
Location(4940307421986816),abcdls chamber of happiness
Location(4942150822264832),Fourth Floor Landing
Location(4942631349518336),Winding Marsh
Location(4942707271139328),Aseridith Fort Courtyard
Location(4944554389667840),Hostage Suites
Location(4945141049065472),Bandit Fort Courtyard
Location(4945957375442944),The Void
Location(4946848728481792),Darkwood Trail
Location(4948836791353344),Dense Jungle
Location(4949919769296896),West Kyprite Ruins
Location(4951368334311424),Arena Hallway
Location(4953654496854016),Sirian Inner West Wall
Location(4957528278433792),OBSOLETE Goblin Tent
Location(4958687969935360),South Volantis Beach
Location(4963088191193088),Keep Servant's Quarters
Location(4966011023392768),Alderai Coast
Location(4967743391531008),Alchemist Quarters
Location(4970549930885120),Emerald Lake
Location(4976416520667136),Castle Library
Location(4979283929333760),Mineshaft
Location(4979321355632640),Sirian Inner Courtyard
Location(4979362051391488),Subterranean Beach
Location(4980129958985728),Guardian
Location(4983559590772736),Pasta's Test Area
Location(4987195898724352),Long Hallway
Location(4992990164811776),Horrific Mechanism
Location(4992992693190656),Secluded Spring
Location(4993608020131840),Feeding Chambers
Location(4993749247852544),Barracks
Location(4999024957980672),Gor'Grub Tribe Inner Camp
Location(5003031899013120),Lost Temple
Location(5004340018544640),Bloodletting Chamber
Location(5005307494268928),Red Cliff's Edge
Location(5005335471325184),Deathly Forest
Location(5006184487583744),Basement
Location(5010032827826176),Submerged Gate
Location(5012932313743360),Winding Marsh
Location(5014172941156352),High Road: Waterfall
Location(5017748168245248),Light Forest Trail
Location(5022757777571840),Split Road
Location(5022992950362112),Hallway to Pit Two
Location(5025418272309248),Hole in the Wall
Location(5026184656322560),MGO's Armor Roll Testing Room
Location(5027432209842176),Dense Forest
Location(5027687722909696),
Location(5028676472668160),Solid Doors
Location(5030142437228544),Descent
Location(5033469437542400),Narrow Passageway
Location(5035716904222720),Reward Hallway
Location(5036663742398464),Spider Nesting Site
Location(5037286042894336),The Darkwood
Location(5037373275504640),Long Hallway
Location(5038200582045696),A letter to the Misty Forest Goblin Leader
Location(5041259119116288),Arena Entrance
Location(5049097595125760),Niks Test Location3
Location(5050118708396032),Peach Grove
Location(5051742795857920),Gulchtop Fortifications
Location(5052322102116352),Strange Empty Room
Location(5053702472728576),Pavilion Courtyard
Location(5054881141882880),Gulchtop Climb
Location(5055024392044544),The Darkwood
Location(5056691190104064),Burning Wastes
Location(5058849023197184),Grave Marker
Location(5059145942433792),
Location(5064948719288320),The Darkwood
Location(5065774759673856),Orc Siege Camp
Location(5066064931061760),Sirian Guardtower
Location(5066885376245760),Lycan Territories
Location(5068160835518464),Glacial Temple Rework
Location(5071777772601344),Hallway
Location(5073501505454080),Old Mine
Location(5077011949158400),Underdark Ledge
Location(5077092523311104),Cathedral of the Spudfather
Location(5077797692243968),Burial Hall
Location(5079734325084160),Goblin Camp 3
Location(5084569214648320),Training Center
Location(5084833928708096),Troll Cave
Location(5084846481473536),Magical Forest
Location(5088480938950656),Kitchen
Location(5090658121678848),Misty Forest Goblin Camp
Location(5091279719366656),Aseridith Keep Kitchen
Location(5091294718722048),Troll Cave
Location(5092570659028992),Dark Passageway
Location(5093891984850944),Wet Tunnel
Location(5097344681115648),Arena Pit Four
Location(5098477256179712),Elven Grove
Location(5107539561938944),Nortion Grove
Location(5109983378145280),Troll Keep Storage
Location(5112563276185600),Derelict Kyprite Library
Location(5112642014281728),Calm Desert
Location(5115476184137728),Smoldering Mountain Peak
Location(5115504887857152),Spiralling Stairway
Location(5119380954284032),Ancient Tunnel
Location(5120374762110976),Second Floor Staircase
Location(5123362846408704),Hallway to Pit One
Location(5123510597058560),
Location(5123708616704000),Dev Landia
Location(5124605528768512),Atlas Trail Entrance
Location(5124980370571264),Arena Hallway
Location(5125020728688640),OBSOLETE Misty Cave Entrance
Location(5127686705905664),Sirian Outer South Wall
Location(5130593837776896),Red Cliffs
Location(5130714677248000),Rasheek Plains
Location(5133185606221824),Black Lord's Chambers
Location(5133665877360640),Arena Pit Three
Location(5135394614542336),Mountain Pass
Location(5138194007851008),Hidden Pass
Location(5138706927190016),Ancient Phoenix Battle
Location(5140503684186112),Troll Dig: Planning Room
Location(5142913545142272),Emerald Jungle
Location(5144264902180864),Shadowy Cavern
Location(5145039194030080),Black Vanguard Outpost
Location(5145738682564608),Underground Sea
Location(5147963085029376),Winding River
Location(5151329668300800),Eridis Island
Location(5153843429507072),Antique Shop
Location(5155067514585088),Wildeburn Forest
Location(5155868502917120),Dual Type Testing Arena
Location(5156159802572800),Training Center
Location(5157211167784960),Long Passage
Location(5157551064743936),Aseridith Keep Kitchen Storage
Location(5157785138364416),Kujir Marsh
Location(5158558446911488),Nubark Mountain
Location(5164176778461184),Undersea Grotto
Location(5164584575172608),Misty Forest
Location(5165326169800704),Nors Mountain Shrine
Location(5169038100004864),Grand Tree Arch
Location(5172614099632128),Emerald Jungle
Location(5172868979097600),Monster Graveyard
Location(5172874862133248),Sirian Outer West Wall
Location(5174341147033600),Xaruk Forest
Location(5175898320928768),Cinder Plains
Location(5178624356909056),The Darkwood
Location(5179062473457664),Kujir Marsh Entrance
Location(5180085843787776),Keep Entrance Hall
Location(5180093517266944),Sun Baked Canyon
Location(5180555280777216),Shadowfallen Northern Hills
Location(5183292001222656),Sewer Fork
Location(5184697803472896),Chamber of Starlight
Location(5185517074251776),Nomad Conclave
Location(5186966480224256),Hidden Room
Location(5188221879189504),Tower Of The Moon
Location(5188914373459968),Drake Cave
Location(5191466372825088),Steep Mountain Path
Location(5192139767021568),Training Center
Location(5193139333103616),Gram River
Location(5195262802264064),Mineshaft
Location(5196041382002688),Eastern Desert
Location(5199146446749696),Tower of Lords - 2nd Floor
Location(5200647423000576),Troll Cave
Location(5202013858037760),Cliffside Path
Location(5204405062205440),Moeh
Location(5205846171582464),Northern Spargus Gate
Location(5209573279399936),Long Hall 2
Location(5210032509026304),Underwater Passage
Location(5216082570772480),Grand Foyer
Location(5222156023889920),Ritual Site
Location(5227257375490048),Underwater Grotto
Location(5227600530112512),Keep Storage
Location(5227660768706560),Aseridith Farmland
Location(5227696990715904),The Land Of Nothing
Location(5229413180637184),Waiting Room One
Location(5232868968103936),Castle Grounds
Location(5234434534277120),Misty Mountains Basin
Location(5235459155296256),Underground Cave
Location(5236629128085504),Upper Crypt
Location(5237232271097856),OBSOLETE Steep Mountain Path
Location(5244214447439872),Debuff Instance End 4
Location(5247612090318848),Time-Out
Location(5249264850567168),Main Hall
Location(5253164749553664),Beached Ship
Location(5253289291546624),Shadowed Canyon
Location(5254277645729792),Secret Passageway 4
Location(5254671279063040),Old Mine
Location(5254780820652032),Shadowed Forest
Location(5260096210731008),Clear Overlook
Location(5262209627717632),Hidden Trail
Location(5262537041903616),Kujir Marsh
Location(5266136275091456),Guard Tower
Location(5268467657211904),Arena Pit
Location(5268675678961664),Mountainous Lookoff
Location(5268847954755584),Reward Room
Location(5276309991194624),Treasure Room
Location(5277126379175936),Debuff Instance End 2
Location(5279071746392064),Rolling Dunes
Location(5281305327042560),Large Cave Opening
Location(5282656086392832),Winding River Shrine
Location(5286485966192640),Oasis
Location(5287122461786112),Gor'Grub Chieftain's Tent
Location(5289379418865664),Pier
Location(5289920851607552),Cathedral Passageway
Location(5291874446737408),Mausoleum of Gol'Shlanek
Location(5294285612122112),Tunnel Climb
Location(5296596736540672),Upper Crypt
Location(5297402739425280),Endless Tunnel
Location(5298663794671616),Death and Taxes
Location(5305092788453376),Forest Clearing
Location(5305647756738560),The Drop
Location(5305761816641536),East Bridge
Location(5308807330660352),Pyramid Entrance
Location(5312228555227136),Aera Inn Basement - Middle
Location(5312945761288192),Eastern Desert
Location(5313663930204160),Arena Pit Two
Location(5313707255529472),Baron Cricketon's Lair
Location(5318078816583680),Stone Tower
Location(5318643904675840),Keep Treasury
Location(5319127061233664),Dense Jungle
Location(5319888028565504),Condemned Cave Entrance
Location(5319959529390080),Emerald Jungle
Location(5323223134633984),North Mountain Range
Location(5323424058572800),OBSOLETE Misty Forest Goblin Camp
Location(5325379218702336),Sirian Knight's Quarters
Location(5325435842330624),Guardian of the Core
Location(5326622602297344),Troll Cave
Location(5328988679438336),Tunnel Climb
Location(5330476979453952),Meteor Impact Site
Location(5330831291973632),
Location(5331082323951616),Strange Empty Room
Location(5331407216050176),
Location(5331701450407936),Large Crypt Room
Location(5332124236251136),
Location(5332203895521280),Raven Chapel
Location(5332609262944256),Aphelion Shrine Inner Sanctum
Location(5335151215378432),Cyrilla: Top Deck
Location(5343021269778432),Tower Entrance
Location(5343295379079168),Eridis Shores
Location(5344615680966656),Sirian Marketplace
Location(5345468984852480),Frozen Cavern
Location(5345871483895808),Apprentice Training Room
Location(5346483960545280),Arena Hallway
Location(5350034434686976),Mess Hall
Location(5354046048174080),Supply Room
Location(5354999749541888),Winding Marsh
Location(5355315370917888),Gol'Shlanek's Crypt
Location(5355404457934848),Church Basement
Location(5356285457334272),Aera Inn Basement - South
Location(5365099076255744),Keep Hallway
Location(5369435355348992),Lizardfolk Marshland
Location(5371268337500160),Mystic Temple Ruins
Location(5374351720841216),The Darkwood
Location(5378036750876672),Ancient Temple
Location(5379125472657408),Old Mine
Location(5381036013780992),Fort Black
Location(5381615790587904),Kyprite Castle Courtyard
Location(5381878680911872),Old Mine
Location(5382551514382336),Old Mine
Location(5387186786795520),Gnoll Village
Location(5388596895285248),Dragon's Pass
Location(5389255752286208),Arena Hallway
Location(5390229466775552),Sirian Outer Courtyard
Location(5390881838333952),Volantis River
Location(5391198642503680),OBSOLETE Misty Mountains Basin
Location(5392914917621760),Hidden Tunnel
Location(5395564370329600),Forest Fire
Location(5398439088619520),Canyon
Location(5399087797239808),
Location(5401345323958272),Old Steps
Location(5402374843924480),Kyprite Castle Walls
Location(5402915028074496),Old Mine
Location(5409986727378944),Gilded Passage Way
Location(5410655737217024),The Darkwood
Location(5411322747420672),Vampiric Hideout
Location(5412534060580864),Xaruk Forest
Location(5414272397475840),Servants Wing
Location(5415793401004032),Book Stand
Location(5422939977547776),Old Mine
Location(5423123405996032),Strange Empty Room
Location(5425105866850304),Troll Dig
Location(5428021293219840),Underwater Lagoon
Location(5428489900523520),Larvae Pit
Location(5428548292050944),Niks Test Location1
Location(5429776734486528),Unbound Quest Hall
Location(5433480876130304),Deep Sea
Location(5437646551646208),Aseridith Fort Tower
Location(5437912854298624),High Road
Location(5442810276741120),Desert Bluff
Location(5443293981704192),Rolling Dunes
Location(5444270617001984),Third Floor Staircase
Location(5446760539619328),Troll General's Quarters
Location(5450053300256768),Castle Kitchen
Location(5451246088486912),Testing Chamber 03
Location(5454343955808256),East Kyprite Ruins
Location(5456818943819776),Abandoned Castle
Location(5457132737003520),Sacrosanct Pathway
Location(5464246322200576),Skeleton Grave
Location(5465626376667136),Forest Fire
Location(5468411513798656),Leniex Mountain
Location(5469661702914048),Drub'Lak Chieftain's Tent
Location(5471573840494592),Aseridith Fort Inner Gate
Location(5471815967178752),Old Volantis Church Ruins
Location(5473101529743360),Old Mine
Location(5478083828121600),Sirian Guardtower 3
Location(5481971054018560),Bandit's Watch Tower
Location(5482641499357184),Kujir Marsh
Location(5483169413595136),Cathedral of Destruction
Location(5483341094584320),Burning Wastes
Location(5484053941714944),Aseridith Fort Guardtower
Location(5490011506475008),Charred Forest
Location(5490769058332672),Kayoak Village
Location(5490839199416320),Overgrown Path
Location(5491706395885568),Nomad Soldiers' Camp
Location(5493588075479040),Dark Wood Pass
Location(5498317707935744),Dense Mangroves
Location(5498766890106880),Lost Sea
Location(5501933642579968),North Bridge
Location(5503932574466048),Labyrinth Entrance
Location(5505750257893376),Hilgadas Castle North
Location(5506034097717248),Arena Pit Two
Location(5508867374448640),Castle Closet
Location(5510739426541568),Castle Gatehouse
Location(5512146850938880),Ferry
Location(5513622415736832),Hidden Room
Location(5514354200150016),PCA Combat Location
Location(5528694259974144),Training Center
Location(5529902163951616),Grand Forest 1
Location(5532894400872448),Volantis Arena
Location(5537766423396352),Reward Room
Location(5542797626572800),Alteru's Sphere of Influence
Location(5543234394652672),Pet Cemetery
Location(5543666814812160),Hidden Room
Location(5544079970795520),Arena Pit
Location(5545597353852928),Fight Club
Location(5547869344366592),Ron's Test Area
Location(5547983691579392),Hermit's Dark Basement
Location(5549152453787648),Smoldering Mountain
Location(5549729958330368),Il'Kalet's Haven
Location(5549972914176000),Troll Dig: Guard Station
Location(5552716535300096),Keep Hallway 3
Location(5554420198146048),Gulch Valley Skirmish Lines
Location(5557842132336640),Xaruk Forest
Location(5558112463355904),Eridis Peak
Location(5560262966902784),Shadowy Steppe
Location(5562316314640384),Troll Cave: Tunnel
Location(5563011707174912),Emerald Isle Shores
Location(5563789273726976),Debuff Instance End 7
Location(5566908544319488),Drider Spawning Ground
Location(5570836760100864),Rolling Dunes
Location(5571923752779776),Pile of Clubs
Location(5576958964400128),Canyonside Plains
Location(5577212366422016),Underground Shelter
Location(5579254207610880),Troll Dig
Location(5581553321115648),Orc Outpost
Location(5582269139910656),The Trident
Location(5587853421838336),Hidden Room
Location(5591850205315072),
Location(5594033394548736),Wall of History
Location(5594756973854720),Ancient Cave
Location(5597571172532224),Arena Hallway
Location(5600247461969920),Sirian Outer Gate
Location(5604701584228352),Crypt
Location(5607707870494720),Test Combat
Location(5609234612092928),Sealed Door
Location(5610315319345152),Wide Hall Stairway
Location(5611288579538944),Arena Pit Four
Location(5612169386262528),Tomb Center
Location(5612935488995328),North Kyprite Ruins
Location(5614891524161536),Small Creek
Location(5617141539667968),Throne Room
Location(5628815342829568),Hallway Two
Location(5632197159026688),Mysterious Tunnel
Location(5633275214168064),Troll Keep Entryway
Location(5633319498678272),Orcish Outpost
Location(5634233376702464),Kujir Marsh
Location(5634325495676928),Arena Hallway
Location(5634472569470976),Grand Mountain Summit
Location(5634801146003456),Mysterious Yurt
Location(5638699607916544),Aseridith Knights' Quarters
Location(5639445604728832),Aera Swamplands
Location(5640312605114368),Tunnel Climb
